0.0.0.0/4	0.0.0.0/0	0.0.0.0/16	0.0.0.0/16		0
16.0.0.0/5	0.0.0.0/1	0.0.0.0/16	0.0.0.0/16		0
24.0.0.0/7	0.0.0.0/1	0.0.0.0/16	0.0.0.0/16		0
26.0.0.0/7	0.0.0.0/1	0.0.0.0/16	0.0.0.0/16		0
28.0.0.0/8	0.0.0.0/2	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/8	0.0.0.0/4	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/8	16.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/8	20.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/8	24.0.0.0/6	0.0.0.0/16	0.0.0.0/16		0
29.0.0.0/8	28.0.0.0/8	0.0.0.0/16	0.0.0.0/16		1
29.0.0.0/9	29.0.0.0/9	0.0.0.0/16	0.0.0.0/16		0
29.128.0.0/9	29.0.0.0/9	0.0.0.0/16	0.0.0.0/16		1
29.0.0.0/9	29.128.0.0/9	0.0.0.0/16	0.0.0.0/16		0
29.128.0.0/11	29.128.0.0/9	0.0.0.0/16	0.0.0.0/16		0
29.160.0.0/13	29.128.0.0/9	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/15	29.128.0.0/11	0.0.0.0/16	0.0.0.0/16		0
29.170.0.0/15	29.128.0.0/11	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/15	29.160.0.0/15	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/15	29.162.0.0/15	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/16	29.164.0.0/16	0.0.0.0/16	0.0.0.0/16		1
29.169.0.0/17	29.164.0.0/17	0.0.0.0/16	0.0.0.0/16		0
29.169.128.0/17	29.164.0.0/17	0.0.0.0/16	0.0.0.0/16		0
29.169.0.0/17	29.164.128.0/17	0.0.0.0/16	0.0.0.0/16		2
29.169.128.0/18	29.164.128.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.192.0/18	29.164.128.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.128.0/18	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		2
29.169.192.0/22	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.196.0/22	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.200.0/24	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.201.0/24	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.0/28	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.16/28	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.32/31	29.164.192.0/19	0.0.0.0/16	0.0.0.0/16		0
29.169.202.34/31	29.164.192.0/19	0.0.0.0/16	0.0.0.0/16		0
29.169.202.32/31	29.164.224.0/19	0.0.0.0/16	0.0.0.0/16		9
29.169.202.34/32	29.164.224.0/20	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.224.0/24	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.225.0/24	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.226.0/26	0.0.0.0/16	0.0.0.0/16		7
29.169.202.35/32	29.164.226.64/26	0.0.0.0/16	0.0.0.0/16		8
29.169.202.35/32	29.164.226.128/26	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.226.192/26	0.0.0.0/16	0.0.0.0/16		13
29.169.202.35/32	29.164.227.0/24	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.228.0/22	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.232.0/22	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.236.0/22	0.0.0.0/16	0.0.0.0/16		0
29.169.202.34/32	29.164.240.0/20	0.0.0.0/16	0.0.0.0/16		0
29.169.202.35/32	29.164.240.0/20	0.0.0.0/16	0.0.0.0/16		0
29.169.202.36/30	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.40/30	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.44/30	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.48/28	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.64/26	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.128/26	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.202.192/26	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.203.0/24	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.204.0/22	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		1
29.169.208.0/20	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		1
29.169.224.0/20	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.169.240.0/20	29.164.192.0/18	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/16	29.165.0.0/16	0.0.0.0/16	0.0.0.0/16		0
29.169.0.0/16	29.165.0.0/16	0.0.0.0/16	0.0.0.0/16		0
29.168.0.0/15	29.166.0.0/15	0.0.0.0/16	0.0.0.0/16		3
29.168.0.0/16	29.168.0.0/16	0.0.0.0/16	0.0.0.0/16		0
29.169.0.0/17	29.168.0.0/17	0.0.0.0/16	0.0.0.0/16		3
29.169.128.0/19	29.168.0.0/17	0.0.0.0/16	0.0.0.0/16		0
29.169.160.0/19	29.168.0.0/17	0.0.0.0/16	0.0.0.0/16		0
29.169.192.0/21	29.168.0.0/19	0.0.0.0/16	0.0.0.0/16		2
29.169.200.0/23	29.168.0.0/19	0.0.0.0/16	0.0.0.0/16		2
29.169.202.0/24	29.168.0.0/20	0.0.0.0/16	0.0.0.0/16		0
29.169.203.0/24	29.168.0.0/20	0.0.0.0/16	0.0.0.0/16		0
29.169.202.0/27	29.168.16.0/21	0.0.0.0/16	0.0.0.0/16		0
29.169.202.32/31	29.168.16.0/23	0.0.0.0/16	0.0.0.0/16		0
29.169.202.34/31	29.168.16.0/23	0.0.0.0/16	0.0.0.0/16		0
29.169.202.32/31	29.168.18.0/25	0.0.0.0/16	0.0.0.0/16		9
29.169.202.32/31	29.168.18.128/25	0.0.0.0/16	0.0.0.0/16		12
